frame.number;frame.time;frame.len;frame.protocols;ip.proto;ip.src;tcp.srcport;udp.srcport;ip.dst;tcp.dstport;udp.dstport
163;May 20, 2017 17:08:33.654970000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
164;May 20, 2017 17:08:33.655643000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
165;May 20, 2017 17:08:33.655869000 JST;1287;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61634;;151.101.73.168;443;
166;May 20, 2017 17:08:33.658310000 JST;1514;eth:ethertype:ip:tcp:ssl:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
167;May 20, 2017 17:08:33.658802000 JST;1514;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
168;May 20, 2017 17:08:33.658881000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
169;May 20, 2017 17:08:33.659009000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
170;May 20, 2017 17:08:33.660752000 JST;166;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61634;;151.101.73.168;443;
171;May 20, 2017 17:08:33.662499000 JST;1514;eth:ethertype:ip:tcp:ssl:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
172;May 20, 2017 17:08:33.662878000 JST;1395;eth:ethertype:ip:tcp:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
173;May 20, 2017 17:08:33.663090000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
174;May 20, 2017 17:08:33.665679000 JST;82;eth:ethertype:ip:udp:dns;17;192.168.3.13;;61913;192.168.3.1;;53
175;May 20, 2017 17:08:33.670310000 JST;85;eth:ethertype:ip:udp:dns;17;192.168.3.13;;60997;192.168.3.1;;53
176;May 20, 2017 17:08:33.677527000 JST;66;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
177;May 20, 2017 17:08:33.679005000 JST;1514;eth:ethertype:ip:tcp:ssl;6;151.101.73.168;443;;192.168.3.13;61634;
178;May 20, 2017 17:08:33.679485000 JST;1514;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
179;May 20, 2017 17:08:33.679736000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
180;May 20, 2017 17:08:33.681388000 JST;1514;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
181;May 20, 2017 17:08:33.681759000 JST;1514;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
182;May 20, 2017 17:08:33.681847000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
183;May 20, 2017 17:08:33.682332000 JST;345;eth:ethertype:ip:udp:dns;17;192.168.3.1;;53;192.168.3.13;;61913
184;May 20, 2017 17:08:33.682687000 JST;165;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61634;;151.101.73.168;443;
185;May 20, 2017 17:08:33.682907000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61634;;151.101.73.168;443;
186;May 20, 2017 17:08:33.683427000 JST;160;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61634;;151.101.73.168;443;
187;May 20, 2017 17:08:33.683712000 JST;1514;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
188;May 20, 2017 17:08:33.684863000 JST;1514;eth:ethertype:ip:tcp;6;151.101.73.168;443;;192.168.3.13;61634;
